arg: {'prefix': 'agnews_4_epoch', 'read_from': None, 'dataset': 'agnews', 'fp_num': 0, 'train_typo': False, 'test_typo': True}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 0.77 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.11 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   1.385665   |     -      |     -     |   4.90   
   1    |   44    |   1.391103   |     -      |     -     |   4.64   
   1    |   66    |   1.374288   |     -      |     -     |   4.66   
   1    |   88    |   1.365011   |     -      |     -     |   4.62   
   1    |   110   |   1.310061   |     -      |     -     |   4.70   
   1    |   132   |   1.242418   |     -      |     -     |   4.77   
   1    |   154   |   1.140859   |     -      |     -     |   4.67   
   1    |   176   |   1.060469   |     -      |     -     |   4.74   
   1    |   198   |   0.996362   |     -      |     -     |   4.75   
   1    |   220   |   0.931456   |     -      |     -     |   4.76   
   1    |   242   |   0.877809   |     -      |     -     |   4.77   
   1    |   264   |   0.833117   |     -      |     -     |   4.77   
   1    |   286   |   0.792500   |     -      |     -     |   4.76   
   1    |   308   |   0.739853   |     -      |     -     |   4.77   
   1    |   330   |   0.678829   |     -      |     -     |   4.76   
   1    |   352   |   0.595798   |     -      |     -     |   4.79   
   1    |   374   |   0.552711   |     -      |     -     |   4.76   
   1    |   396   |   0.528829   |     -      |     -     |   4.75   
   1    |   418   |   0.480748   |     -      |     -     |   4.71   
   1    |   440   |   0.541701   |     -      |     -     |   4.78   
   1    |   462   |   0.439396   |     -      |     -     |   4.77   
   1    |   484   |   0.510107   |     -      |     -     |   4.79   
   1    |   506   |   0.435675   |     -      |     -     |   4.78   
   1    |   528   |   0.483423   |     -      |     -     |   4.77   
   1    |   550   |   0.383075   |     -      |     -     |   4.78   
   1    |   572   |   0.427401   |     -      |     -     |   4.89   
   1    |   594   |   0.422594   |     -      |     -     |   4.73   
   1    |   616   |   0.318329   |     -      |     -     |   4.78   
   1    |   638   |   0.447508   |     -      |     -     |   4.84   
   1    |   660   |   0.360735   |     -      |     -     |   4.75   
   1    |   682   |   0.397921   |     -      |     -     |   4.77   
   1    |   704   |   0.440286   |     -      |     -     |   4.78   
   1    |   726   |   0.381664   |     -      |     -     |   4.73   
   1    |   748   |   0.260346   |     -      |     -     |   4.74   
   1    |   770   |   0.398883   |     -      |     -     |   4.72   
   1    |   792   |   0.281601   |     -      |     -     |   4.75   
   1    |   814   |   0.391696   |     -      |     -     |   4.73   
   1    |   836   |   0.435164   |     -      |     -     |   4.74   
   1    |   858   |   0.326428   |     -      |     -     |   4.72   
   1    |   880   |   0.473967   |     -      |     -     |   4.72   
   1    |   902   |   0.419187   |     -      |     -     |   4.69   
   1    |   924   |   0.360683   |     -      |     -     |   4.66   
   1    |   946   |   0.365864   |     -      |     -     |   4.64   
   1    |   968   |   0.462647   |     -      |     -     |   4.63   
   1    |   990   |   0.255053   |     -      |     -     |   4.53   
   1    |  1012   |   0.347452   |     -      |     -     |   4.72   
   1    |  1034   |   0.433016   |     -      |     -     |   4.73   
   1    |  1056   |   0.364471   |     -      |     -     |   4.73   
   1    |  1078   |   0.330632   |     -      |     -     |   4.71   
   1    |  1100   |   0.433042   |     -      |     -     |   4.74   
   1    |  1122   |   0.409493   |     -      |     -     |   4.71   
   1    |  1144   |   0.300631   |     -      |     -     |   4.78   
   1    |  1166   |   0.404715   |     -      |     -     |   4.78   
   1    |  1188   |   0.355061   |     -      |     -     |   4.77   
   1    |  1210   |   0.333185   |     -      |     -     |   4.82   
   1    |  1232   |   0.335804   |     -      |     -     |   4.82   
   1    |  1254   |   0.331285   |     -      |     -     |   4.82   
   1    |  1276   |   0.358365   |     -      |     -     |   4.81   
   1    |  1298   |   0.387168   |     -      |     -     |   4.83   
   1    |  1320   |   0.315420   |     -      |     -     |   4.83   
   1    |  1342   |   0.328523   |     -      |     -     |   4.84   
