arg: {'prefix': 'agnews_4_epoch_typo', 'read_from': None, 'dataset': 'agnews', 'fp_num': 0, 'train_typo': True, 'test_typo': True}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 0.77 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.10 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   1.391265   |     -      |     -     |   4.90   
   1    |   44    |   1.388927   |     -      |     -     |   4.75   
   1    |   66    |   1.375908   |     -      |     -     |   4.72   
   1    |   88    |   1.361789   |     -      |     -     |   4.71   
   1    |   110   |   1.322272   |     -      |     -     |   4.66   
   1    |   132   |   1.257683   |     -      |     -     |   4.72   
   1    |   154   |   1.185829   |     -      |     -     |   4.73   
   1    |   176   |   1.114955   |     -      |     -     |   4.75   
   1    |   198   |   1.051366   |     -      |     -     |   4.73   
   1    |   220   |   0.999211   |     -      |     -     |   4.77   
   1    |   242   |   0.909386   |     -      |     -     |   4.76   
   1    |   264   |   0.875652   |     -      |     -     |   4.78   
   1    |   286   |   0.826416   |     -      |     -     |   4.79   
   1    |   308   |   0.793148   |     -      |     -     |   4.78   
   1    |   330   |   0.789795   |     -      |     -     |   4.77   
   1    |   352   |   0.721642   |     -      |     -     |   4.75   
   1    |   374   |   0.671116   |     -      |     -     |   4.75   
   1    |   396   |   0.548751   |     -      |     -     |   4.74   
   1    |   418   |   0.554979   |     -      |     -     |   4.75   
   1    |   440   |   0.564400   |     -      |     -     |   4.77   
   1    |   462   |   0.583070   |     -      |     -     |   4.71   
   1    |   484   |   0.528353   |     -      |     -     |   4.69   
   1    |   506   |   0.390730   |     -      |     -     |   4.73   
