arg: {'prefix': 'agnews_base', 'read_from': None, 'dataset': 'agnews', 'fp_num': 0, 'train_typo': False, 'test_typo': False}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 0.75 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.11 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   1.393848   |     -      |     -     |   4.92   
   1    |   44    |   1.394611   |     -      |     -     |   4.72   
   1    |   66    |   1.387865   |     -      |     -     |   4.72   
   1    |   88    |   1.363448   |     -      |     -     |   4.69   
   1    |   110   |   1.329726   |     -      |     -     |   4.73   
   1    |   132   |   1.269815   |     -      |     -     |   4.67   
   1    |   154   |   1.195285   |     -      |     -     |   4.70   
   1    |   176   |   1.136445   |     -      |     -     |   4.74   
   1    |   198   |   1.072179   |     -      |     -     |   4.75   
   1    |   220   |   0.996060   |     -      |     -     |   4.79   
   1    |   242   |   0.932689   |     -      |     -     |   4.77   
   1    |   264   |   0.890247   |     -      |     -     |   4.73   
   1    |   286   |   0.848420   |     -      |     -     |   4.79   
   1    |   308   |   0.796750   |     -      |     -     |   4.81   
   1    |   330   |   0.743883   |     -      |     -     |   4.83   
   1    |   352   |   0.643968   |     -      |     -     |   4.79   
   1    |   374   |   0.595576   |     -      |     -     |   4.78   
   1    |   396   |   0.600343   |     -      |     -     |   4.79   
   1    |   418   |   0.546377   |     -      |     -     |   4.83   
   1    |   440   |   0.569606   |     -      |     -     |   4.83   
   1    |   462   |   0.499562   |     -      |     -     |   4.84   
   1    |   484   |   0.514848   |     -      |     -     |   4.81   
   1    |   506   |   0.458185   |     -      |     -     |   4.82   
   1    |   528   |   0.496302   |     -      |     -     |   4.79   
   1    |   550   |   0.403974   |     -      |     -     |   4.79   
   1    |   572   |   0.439455   |     -      |     -     |   4.81   
   1    |   594   |   0.410571   |     -      |     -     |   4.77   
   1    |   616   |   0.312454   |     -      |     -     |   4.79   
   1    |   638   |   0.486253   |     -      |     -     |   4.80   
   1    |   660   |   0.346101   |     -      |     -     |   4.80   
   1    |   682   |   0.387021   |     -      |     -     |   4.81   
   1    |   704   |   0.440016   |     -      |     -     |   4.80   
   1    |   726   |   0.361515   |     -      |     -     |   4.69   
   1    |   748   |   0.268771   |     -      |     -     |   4.79   
   1    |   770   |   0.377244   |     -      |     -     |   4.76   
   1    |   792   |   0.352459   |     -      |     -     |   4.80   
   1    |   814   |   0.316711   |     -      |     -     |   4.78   
   1    |   836   |   0.397547   |     -      |     -     |   4.77   
   1    |   858   |   0.271352   |     -      |     -     |   4.73   
   1    |   880   |   0.412378   |     -      |     -     |   4.80   
   1    |   902   |   0.386051   |     -      |     -     |   4.78   
   1    |   924   |   0.364893   |     -      |     -     |   4.79   
   1    |   946   |   0.329206   |     -      |     -     |   4.78   
   1    |   968   |   0.423227   |     -      |     -     |   4.76   
   1    |   990   |   0.308305   |     -      |     -     |   4.76   
   1    |  1012   |   0.361545   |     -      |     -     |   4.78   
   1    |  1034   |   0.444122   |     -      |     -     |   4.76   
   1    |  1056   |   0.364014   |     -      |     -     |   4.78   
   1    |  1078   |   0.290048   |     -      |     -     |   4.79   
   1    |  1100   |   0.350394   |     -      |     -     |   4.77   
   1    |  1122   |   0.419242   |     -      |     -     |   4.79   
   1    |  1144   |   0.292747   |     -      |     -     |   4.81   
   1    |  1166   |   0.371088   |     -      |     -     |   4.72   
   1    |  1188   |   0.353330   |     -      |     -     |   4.70   
   1    |  1210   |   0.306750   |     -      |     -     |   4.71   
   1    |  1232   |   0.315394   |     -      |     -     |   4.73   
   1    |  1254   |   0.319161   |     -      |     -     |   4.72   
   1    |  1276   |   0.332388   |     -      |     -     |   4.70   
   1    |  1298   |   0.311012   |     -      |     -     |   4.80   
   1    |  1320   |   0.312430   |     -      |     -     |   4.76   
   1    |  1342   |   0.319128   |     -      |     -     |   4.75   
   1    |  1364   |   0.339941   |     -      |     -     |   4.70   
   1    |  1386   |   0.351213   |     -      |     -     |   4.78   
   1    |  1408   |   0.267184   |     -      |     -     |   4.77   
   1    |  1430   |   0.370681   |     -      |     -     |   4.79   
   1    |  1452   |   0.357618   |     -      |     -     |   4.77   
   1    |  1474   |   0.379733   |     -      |     -     |   4.73   
   1    |  1496   |   0.239405   |     -      |     -     |   4.57   
   1    |  1518   |   0.287715   |     -      |     -     |   4.62   
   1    |  1540   |   0.372202   |     -      |     -     |   4.59   
   1    |  1562   |   0.283071   |     -      |     -     |   4.70   
   1    |  1584   |   0.360966   |     -      |     -     |   4.76   
   1    |  1606   |   0.260373   |     -      |     -     |   4.77   
   1    |  1628   |   0.356421   |     -      |     -     |   4.74   
   1    |  1650   |   0.279660   |     -      |     -     |   4.74   
   1    |  1672   |   0.206226   |     -      |     -     |   4.73   
   1    |  1694   |   0.267410   |     -      |     -     |   4.75   
   1    |  1716   |   0.406277   |     -      |     -     |   4.75   
   1    |  1738   |   0.294202   |     -      |     -     |   4.77   
   1    |  1760   |   0.319502   |     -      |     -     |   4.74   
   1    |  1782   |   0.356682   |     -      |     -     |   4.74   
   1    |  1804   |   0.322311   |     -      |     -     |   4.74   
   1    |  1826   |   0.267287   |     -      |     -     |   4.74   
   1    |  1848   |   0.301605   |     -      |     -     |   4.76   
   1    |  1870   |   0.200851   |     -      |     -     |   4.77   
   1    |  1892   |   0.300248   |     -      |     -     |   4.66   
   1    |  1914   |   0.303337   |     -      |     -     |   4.70   
   1    |  1936   |   0.229795   |     -      |     -     |   4.77   
   1    |  1958   |   0.278200   |     -      |     -     |   4.78   
   1    |  1980   |   0.412224   |     -      |     -     |   4.78   
   1    |  2002   |   0.378106   |     -      |     -     |   4.77   
   1    |  2024   |   0.304822   |     -      |     -     |   4.77   
   1    |  2046   |   0.318781   |     -      |     -     |   4.83   
   1    |  2068   |   0.298503   |     -      |     -     |   4.84   
   1    |  2090   |   0.292649   |     -      |     -     |   4.84   
   1    |  2112   |   0.359130   |     -      |     -     |   4.82   
   1    |  2134   |   0.290155   |     -      |     -     |   4.84   
   1    |  2156   |   0.311087   |     -      |     -     |   4.78   
   1    |  2178   |   0.234267   |     -      |     -     |   4.81   
   1    |  2200   |   0.349683   |     -      |     -     |   4.84   
   1    |  2222   |   0.250484   |     -      |     -     |   4.81   
   1    |  2244   |   0.282239   |     -      |     -     |   4.82   
   1    |  2249   |   0.230176   |     -      |     -     |   1.10   
----------------------------------------------------------------------
   1    |    -    |   0.466324   |  0.286014  |   91.65   |  503.37  
----------------------------------------------------------------------


 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   2    |   22    |   0.234015   |     -      |     -     |   5.00   
   2    |   44    |   0.205935   |     -      |     -     |   4.78   
   2    |   66    |   0.290614   |     -      |     -     |   4.76   
   2    |   88    |   0.294697   |     -      |     -     |   4.79   
   2    |   110   |   0.280125   |     -      |     -     |   4.79   
   2    |   132   |   0.242648   |     -      |     -     |   4.75   
   2    |   154   |   0.254669   |     -      |     -     |   4.76   
   2    |   176   |   0.153116   |     -      |     -     |   4.74   
   2    |   198   |   0.149360   |     -      |     -     |   4.70   
   2    |   220   |   0.313925   |     -      |     -     |   4.76   
   2    |   242   |   0.276072   |     -      |     -     |   4.79   
   2    |   264   |   0.283723   |     -      |     -     |   4.76   
   2    |   286   |   0.187475   |     -      |     -     |   4.77   
   2    |   308   |   0.280846   |     -      |     -     |   4.82   
   2    |   330   |   0.217894   |     -      |     -     |   4.79   
   2    |   352   |   0.283666   |     -      |     -     |   4.77   
   2    |   374   |   0.232772   |     -      |     -     |   4.75   
   2    |   396   |   0.351472   |     -      |     -     |   4.76   
   2    |   418   |   0.240644   |     -      |     -     |   4.76   
   2    |   440   |   0.215792   |     -      |     -     |   4.80   
   2    |   462   |   0.244939   |     -      |     -     |   4.79   
   2    |   484   |   0.260805   |     -      |     -     |   4.77   
   2    |   506   |   0.293756   |     -      |     -     |   4.78   
   2    |   528   |   0.160324   |     -      |     -     |   4.78   
   2    |   550   |   0.264576   |     -      |     -     |   4.75   
   2    |   572   |   0.247504   |     -      |     -     |   4.77   
   2    |   594   |   0.178181   |     -      |     -     |   4.77   
   2    |   616   |   0.218875   |     -      |     -     |   4.78   
   2    |   638   |   0.197715   |     -      |     -     |   4.79   
   2    |   660   |   0.216167   |     -      |     -     |   4.81   
   2    |   682   |   0.283764   |     -      |     -     |   4.78   
   2    |   704   |   0.284379   |     -      |     -     |   4.76   
   2    |   726   |   0.218472   |     -      |     -     |   4.78   
   2    |   748   |   0.274857   |     -      |     -     |   4.78   
   2    |   770   |   0.207677   |     -      |     -     |   4.79   
   2    |   792   |   0.239916   |     -      |     -     |   4.78   
   2    |   814   |   0.243500   |     -      |     -     |   4.77   
   2    |   836   |   0.254989   |     -      |     -     |   4.77   
   2    |   858   |   0.176703   |     -      |     -     |   4.75   
   2    |   880   |   0.174716   |     -      |     -     |   4.72   
   2    |   902   |   0.304846   |     -      |     -     |   4.74   
   2    |   924   |   0.264998   |     -      |     -     |   4.75   
   2    |   946   |   0.255891   |     -      |     -     |   4.73   
   2    |   968   |   0.210100   |     -      |     -     |   4.71   
   2    |   990   |   0.228911   |     -      |     -     |   4.70   
   2    |  1012   |   0.214597   |     -      |     -     |   4.66   
   2    |  1034   |   0.309105   |     -      |     -     |   4.72   
   2    |  1056   |   0.217204   |     -      |     -     |   4.75   
   2    |  1078   |   0.260627   |     -      |     -     |   4.74   
   2    |  1100   |   0.211424   |     -      |     -     |   4.68   
   2    |  1122   |   0.269814   |     -      |     -     |   4.66   
   2    |  1144   |   0.199508   |     -      |     -     |   4.74   
   2    |  1166   |   0.228607   |     -      |     -     |   4.80   
   2    |  1188   |   0.183464   |     -      |     -     |   4.77   
