arg: {'prefix': 'agnews_ptrNTY_2', 'read_from': 'imdb_trNTY', 'dataset': 'agnews', 'fp_num': 2}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 0.77 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.00 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   1.386975   |     -      |     -     |   4.87   
   1    |   44    |   1.386729   |     -      |     -     |   4.66   
   1    |   66    |   1.375716   |     -      |     -     |   4.61   
   1    |   88    |   1.367309   |     -      |     -     |   4.64   
   1    |   110   |   1.323337   |     -      |     -     |   4.62   
   1    |   132   |   1.286743   |     -      |     -     |   4.66   
   1    |   154   |   1.173695   |     -      |     -     |   4.64   
   1    |   176   |   1.045617   |     -      |     -     |   4.75   
   1    |   198   |   0.937928   |     -      |     -     |   4.78   
   1    |   220   |   0.851487   |     -      |     -     |   4.83   
   1    |   242   |   0.710591   |     -      |     -     |   4.85   
   1    |   264   |   0.656876   |     -      |     -     |   4.85   
   1    |   286   |   0.607929   |     -      |     -     |   4.80   
   1    |   308   |   0.578303   |     -      |     -     |   4.82   
   1    |   330   |   0.601301   |     -      |     -     |   4.80   
   1    |   352   |   0.523765   |     -      |     -     |   4.81   
   1    |   374   |   0.421571   |     -      |     -     |   4.78   
   1    |   396   |   0.310397   |     -      |     -     |   4.72   
   1    |   418   |   0.380497   |     -      |     -     |   4.78   
   1    |   440   |   0.501901   |     -      |     -     |   4.79   
   1    |   462   |   0.475987   |     -      |     -     |   4.78   
   1    |   484   |   0.504004   |     -      |     -     |   4.75   
   1    |   506   |   0.337833   |     -      |     -     |   4.79   
   1    |   528   |   0.377220   |     -      |     -     |   4.80   
   1    |   550   |   0.440717   |     -      |     -     |   4.77   
   1    |   572   |   0.397157   |     -      |     -     |   4.76   
   1    |   594   |   0.394816   |     -      |     -     |   4.76   
   1    |   616   |   0.415073   |     -      |     -     |   4.76   
   1    |   638   |   0.457866   |     -      |     -     |   4.73   
   1    |   660   |   0.306798   |     -      |     -     |   4.76   
   1    |   682   |   0.385661   |     -      |     -     |   4.77   
   1    |   704   |   0.410156   |     -      |     -     |   4.72   
   1    |   726   |   0.437429   |     -      |     -     |   4.71   
   1    |   748   |   0.406115   |     -      |     -     |   4.73   
   1    |   770   |   0.324246   |     -      |     -     |   4.73   
   1    |   792   |   0.372863   |     -      |     -     |   4.71   
   1    |   814   |   0.318882   |     -      |     -     |   4.76   
   1    |   836   |   0.328999   |     -      |     -     |   4.77   
   1    |   858   |   0.335197   |     -      |     -     |   4.74   
   1    |   880   |   0.306073   |     -      |     -     |   4.71   
   1    |   902   |   0.310456   |     -      |     -     |   4.77   
   1    |   924   |   0.310257   |     -      |     -     |   4.76   
   1    |   946   |   0.277487   |     -      |     -     |   4.77   
   1    |   968   |   0.520485   |     -      |     -     |   4.77   
   1    |   990   |   0.320946   |     -      |     -     |   4.74   
   1    |  1012   |   0.309367   |     -      |     -     |   4.75   
   1    |  1034   |   0.229624   |     -      |     -     |   4.80   
   1    |  1056   |   0.345288   |     -      |     -     |   4.80   
   1    |  1078   |   0.361242   |     -      |     -     |   4.76   
   1    |  1100   |   0.324246   |     -      |     -     |   4.76   
   1    |  1122   |   0.432397   |     -      |     -     |   4.78   
   1    |  1144   |   0.317725   |     -      |     -     |   4.79   
   1    |  1166   |   0.349026   |     -      |     -     |   4.77   
   1    |  1188   |   0.328133   |     -      |     -     |   4.79   
   1    |  1210   |   0.342064   |     -      |     -     |   4.72   
   1    |  1232   |   0.339474   |     -      |     -     |   4.72   
   1    |  1254   |   0.273975   |     -      |     -     |   4.81   
   1    |  1276   |   0.337989   |     -      |     -     |   4.80   
   1    |  1298   |   0.355060   |     -      |     -     |   4.79   
   1    |  1320   |   0.341974   |     -      |     -     |   4.83   
   1    |  1342   |   0.294406   |     -      |     -     |   4.79   
   1    |  1364   |   0.292849   |     -      |     -     |   4.72   
   1    |  1386   |   0.321251   |     -      |     -     |   4.75   
   1    |  1408   |   0.328376   |     -      |     -     |   4.65   
   1    |  1430   |   0.344628   |     -      |     -     |   4.61   
   1    |  1452   |   0.271967   |     -      |     -     |   4.77   
   1    |  1474   |   0.270999   |     -      |     -     |   4.74   
   1    |  1496   |   0.226774   |     -      |     -     |   4.79   
   1    |  1518   |   0.193661   |     -      |     -     |   4.79   
   1    |  1540   |   0.276403   |     -      |     -     |   4.73   
   1    |  1562   |   0.334986   |     -      |     -     |   4.74   
   1    |  1584   |   0.279294   |     -      |     -     |   4.67   
   1    |  1606   |   0.361164   |     -      |     -     |   4.77   
   1    |  1628   |   0.284119   |     -      |     -     |   4.74   
   1    |  1650   |   0.286622   |     -      |     -     |   4.76   
   1    |  1672   |   0.229899   |     -      |     -     |   4.75   
   1    |  1694   |   0.243689   |     -      |     -     |   4.67   
   1    |  1716   |   0.254237   |     -      |     -     |   4.65   
   1    |  1738   |   0.306077   |     -      |     -     |   4.72   
   1    |  1760   |   0.329975   |     -      |     -     |   4.75   
   1    |  1782   |   0.291557   |     -      |     -     |   4.78   
   1    |  1804   |   0.378265   |     -      |     -     |   4.78   
   1    |  1826   |   0.306811   |     -      |     -     |   4.83   
   1    |  1848   |   0.305393   |     -      |     -     |   4.96   
   1    |  1870   |   0.310323   |     -      |     -     |   4.87   
   1    |  1892   |   0.259775   |     -      |     -     |   4.81   
   1    |  1914   |   0.268647   |     -      |     -     |   4.84   
   1    |  1936   |   0.297328   |     -      |     -     |   4.84   
   1    |  1958   |   0.272400   |     -      |     -     |   4.74   
   1    |  1980   |   0.344788   |     -      |     -     |   4.68   
   1    |  2002   |   0.288761   |     -      |     -     |   4.74   
   1    |  2024   |   0.207789   |     -      |     -     |   4.74   
   1    |  2046   |   0.244077   |     -      |     -     |   4.76   
   1    |  2068   |   0.364832   |     -      |     -     |   4.81   
   1    |  2090   |   0.327591   |     -      |     -     |   4.79   
   1    |  2112   |   0.353335   |     -      |     -     |   4.73   
   1    |  2134   |   0.269399   |     -      |     -     |   4.74   
   1    |  2156   |   0.296763   |     -      |     -     |   4.79   
   1    |  2178   |   0.239314   |     -      |     -     |   4.77   
   1    |  2200   |   0.202299   |     -      |     -     |   4.77   
   1    |  2222   |   0.258341   |     -      |     -     |   4.83   
   1    |  2244   |   0.339188   |     -      |     -     |   4.78   
