arg: {'prefix': 'agnews_ptrTY_4', 'read_from': 'imdb_trTY', 'dataset': 'agnews', 'fp_num': 4}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 0.77 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.00 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   1.486555   |     -      |     -     |   4.92   
   1    |   44    |   1.421703   |     -      |     -     |   4.66   
   1    |   66    |   1.375084   |     -      |     -     |   4.67   
   1    |   88    |   1.365795   |     -      |     -     |   4.72   
   1    |   110   |   1.328970   |     -      |     -     |   4.75   
   1    |   132   |   1.204720   |     -      |     -     |   4.76   
   1    |   154   |   1.131527   |     -      |     -     |   4.74   
   1    |   176   |   1.030640   |     -      |     -     |   4.69   
   1    |   198   |   0.911318   |     -      |     -     |   4.70   
   1    |   220   |   0.862297   |     -      |     -     |   4.73   
   1    |   242   |   0.741269   |     -      |     -     |   4.78   
   1    |   264   |   0.707517   |     -      |     -     |   4.79   
   1    |   286   |   0.630792   |     -      |     -     |   4.76   
   1    |   308   |   0.535611   |     -      |     -     |   4.68   
   1    |   330   |   0.625507   |     -      |     -     |   4.75   
   1    |   352   |   0.552318   |     -      |     -     |   4.78   
   1    |   374   |   0.438081   |     -      |     -     |   4.74   
   1    |   396   |   0.332641   |     -      |     -     |   4.79   
   1    |   418   |   0.346417   |     -      |     -     |   4.75   
   1    |   440   |   0.543441   |     -      |     -     |   4.73   
   1    |   462   |   0.544890   |     -      |     -     |   4.74   
   1    |   484   |   0.418030   |     -      |     -     |   4.75   
   1    |   506   |   0.393820   |     -      |     -     |   4.76   
   1    |   528   |   0.423133   |     -      |     -     |   4.77   
   1    |   550   |   0.378179   |     -      |     -     |   4.76   
   1    |   572   |   0.414483   |     -      |     -     |   4.77   
   1    |   594   |   0.496160   |     -      |     -     |   4.72   
   1    |   616   |   0.418958   |     -      |     -     |   4.70   
   1    |   638   |   0.466613   |     -      |     -     |   4.76   
   1    |   660   |   0.320868   |     -      |     -     |   4.72   
   1    |   682   |   0.390190   |     -      |     -     |   4.64   
   1    |   704   |   0.353330   |     -      |     -     |   4.72   
   1    |   726   |   0.401574   |     -      |     -     |   4.81   
   1    |   748   |   0.433440   |     -      |     -     |   4.81   
   1    |   770   |   0.391295   |     -      |     -     |   4.82   
   1    |   792   |   0.378089   |     -      |     -     |   4.84   
   1    |   814   |   0.329283   |     -      |     -     |   4.86   
   1    |   836   |   0.329877   |     -      |     -     |   4.86   
   1    |   858   |   0.345647   |     -      |     -     |   4.77   
   1    |   880   |   0.285014   |     -      |     -     |   4.73   
   1    |   902   |   0.309216   |     -      |     -     |   4.73   
   1    |   924   |   0.307410   |     -      |     -     |   4.78   
   1    |   946   |   0.221830   |     -      |     -     |   4.80   
   1    |   968   |   0.444745   |     -      |     -     |   4.79   
   1    |   990   |   0.313969   |     -      |     -     |   4.80   
   1    |  1012   |   0.336345   |     -      |     -     |   4.70   
   1    |  1034   |   0.272886   |     -      |     -     |   4.75   
   1    |  1056   |   0.319767   |     -      |     -     |   4.74   
   1    |  1078   |   0.336272   |     -      |     -     |   4.79   
   1    |  1100   |   0.361445   |     -      |     -     |   4.78   
   1    |  1122   |   0.407376   |     -      |     -     |   4.78   
   1    |  1144   |   0.311714   |     -      |     -     |   4.78   
   1    |  1166   |   0.335149   |     -      |     -     |   4.76   
   1    |  1188   |   0.344987   |     -      |     -     |   4.77   
   1    |  1210   |   0.349150   |     -      |     -     |   4.70   
