arg: {'prefix': 'agnews_trNTY', 'read_from': None, 'dataset': 'agnews', 'fp_num': 0, 'train_typo': False}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 0.72 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.10 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   1.396599   |     -      |     -     |   4.87   
   1    |   44    |   1.373468   |     -      |     -     |   4.52   
   1    |   66    |   1.360674   |     -      |     -     |   4.56   
   1    |   88    |   1.315768   |     -      |     -     |   4.67   
   1    |   110   |   1.224952   |     -      |     -     |   4.70   
   1    |   132   |   1.128898   |     -      |     -     |   4.68   
   1    |   154   |   1.027784   |     -      |     -     |   4.69   
   1    |   176   |   0.958317   |     -      |     -     |   4.68   
   1    |   198   |   0.883019   |     -      |     -     |   4.71   
   1    |   220   |   0.795688   |     -      |     -     |   4.69   
   1    |   242   |   0.725706   |     -      |     -     |   4.70   
   1    |   264   |   0.694487   |     -      |     -     |   4.69   
   1    |   286   |   0.631037   |     -      |     -     |   4.72   
   1    |   308   |   0.586866   |     -      |     -     |   4.70   
   1    |   330   |   0.565727   |     -      |     -     |   4.71   
   1    |   352   |   0.414988   |     -      |     -     |   4.70   
   1    |   374   |   0.435391   |     -      |     -     |   4.71   
   1    |   396   |   0.457204   |     -      |     -     |   4.72   
   1    |   418   |   0.433183   |     -      |     -     |   4.72   
   1    |   440   |   0.523770   |     -      |     -     |   4.73   
   1    |   462   |   0.350372   |     -      |     -     |   4.74   
   1    |   484   |   0.454844   |     -      |     -     |   4.73   
   1    |   506   |   0.431327   |     -      |     -     |   4.71   
   1    |   528   |   0.458203   |     -      |     -     |   4.73   
   1    |   550   |   0.357565   |     -      |     -     |   4.74   
   1    |   572   |   0.392991   |     -      |     -     |   4.74   
   1    |   594   |   0.363991   |     -      |     -     |   4.76   
   1    |   616   |   0.301849   |     -      |     -     |   4.76   
   1    |   638   |   0.429747   |     -      |     -     |   4.75   
   1    |   660   |   0.410491   |     -      |     -     |   4.74   
   1    |   682   |   0.389528   |     -      |     -     |   4.71   
   1    |   704   |   0.469641   |     -      |     -     |   4.74   
   1    |   726   |   0.299957   |     -      |     -     |   4.76   
   1    |   748   |   0.247393   |     -      |     -     |   4.78   
   1    |   770   |   0.331942   |     -      |     -     |   4.76   
   1    |   792   |   0.277161   |     -      |     -     |   4.68   
   1    |   814   |   0.313484   |     -      |     -     |   4.61   
   1    |   836   |   0.423424   |     -      |     -     |   4.71   
   1    |   858   |   0.237310   |     -      |     -     |   4.74   
   1    |   880   |   0.439115   |     -      |     -     |   4.74   
   1    |   902   |   0.323241   |     -      |     -     |   4.72   
   1    |   924   |   0.340373   |     -      |     -     |   4.74   
   1    |   946   |   0.353344   |     -      |     -     |   4.74   
   1    |   968   |   0.399816   |     -      |     -     |   4.74   
   1    |   990   |   0.235591   |     -      |     -     |   4.74   
   1    |  1012   |   0.363891   |     -      |     -     |   4.64   
   1    |  1034   |   0.460447   |     -      |     -     |   4.72   
   1    |  1056   |   0.331439   |     -      |     -     |   4.73   
   1    |  1078   |   0.301959   |     -      |     -     |   4.73   
   1    |  1100   |   0.387944   |     -      |     -     |   4.75   
   1    |  1122   |   0.401591   |     -      |     -     |   4.75   
   1    |  1144   |   0.259808   |     -      |     -     |   4.72   
   1    |  1166   |   0.357869   |     -      |     -     |   4.74   
   1    |  1188   |   0.310272   |     -      |     -     |   4.71   
   1    |  1210   |   0.320011   |     -      |     -     |   4.73   
   1    |  1232   |   0.268219   |     -      |     -     |   4.76   
   1    |  1254   |   0.304600   |     -      |     -     |   4.77   
   1    |  1276   |   0.358069   |     -      |     -     |   4.76   
   1    |  1298   |   0.362009   |     -      |     -     |   4.75   
   1    |  1320   |   0.278304   |     -      |     -     |   4.72   
   1    |  1342   |   0.301259   |     -      |     -     |   4.73   
   1    |  1364   |   0.323401   |     -      |     -     |   4.69   
   1    |  1386   |   0.338977   |     -      |     -     |   4.65   
   1    |  1408   |   0.251030   |     -      |     -     |   4.61   
   1    |  1430   |   0.330776   |     -      |     -     |   4.71   
   1    |  1452   |   0.379265   |     -      |     -     |   4.74   
   1    |  1474   |   0.388636   |     -      |     -     |   4.73   
   1    |  1496   |   0.239724   |     -      |     -     |   4.74   
   1    |  1518   |   0.325431   |     -      |     -     |   4.75   
   1    |  1540   |   0.362490   |     -      |     -     |   4.74   
   1    |  1562   |   0.246999   |     -      |     -     |   4.73   
   1    |  1584   |   0.370199   |     -      |     -     |   4.73   
   1    |  1606   |   0.251193   |     -      |     -     |   4.73   
   1    |  1628   |   0.349877   |     -      |     -     |   4.67   
   1    |  1650   |   0.285625   |     -      |     -     |   4.73   
   1    |  1672   |   0.215471   |     -      |     -     |   4.74   
   1    |  1694   |   0.269329   |     -      |     -     |   4.73   
   1    |  1716   |   0.346949   |     -      |     -     |   4.75   
   1    |  1738   |   0.287741   |     -      |     -     |   4.76   
   1    |  1760   |   0.272999   |     -      |     -     |   4.75   
   1    |  1782   |   0.281433   |     -      |     -     |   4.71   
   1    |  1804   |   0.291098   |     -      |     -     |   4.76   
   1    |  1826   |   0.234852   |     -      |     -     |   4.72   
   1    |  1848   |   0.276465   |     -      |     -     |   4.73   
   1    |  1870   |   0.218616   |     -      |     -     |   4.73   
   1    |  1892   |   0.227753   |     -      |     -     |   4.75   
   1    |  1914   |   0.299316   |     -      |     -     |   4.75   
   1    |  1936   |   0.292040   |     -      |     -     |   4.75   
   1    |  1958   |   0.268920   |     -      |     -     |   4.75   
   1    |  1980   |   0.351452   |     -      |     -     |   4.75   
   1    |  2002   |   0.361091   |     -      |     -     |   4.75   
   1    |  2024   |   0.296338   |     -      |     -     |   4.74   
   1    |  2046   |   0.292590   |     -      |     -     |   4.74   
   1    |  2068   |   0.292658   |     -      |     -     |   4.72   
   1    |  2090   |   0.288950   |     -      |     -     |   4.73   
   1    |  2112   |   0.307670   |     -      |     -     |   4.73   
   1    |  2134   |   0.277492   |     -      |     -     |   4.74   
   1    |  2156   |   0.327102   |     -      |     -     |   4.74   
   1    |  2178   |   0.222071   |     -      |     -     |   4.74   
   1    |  2200   |   0.292181   |     -      |     -     |   4.73   
   1    |  2222   |   0.238917   |     -      |     -     |   4.73   
   1    |  2244   |   0.285113   |     -      |     -     |   4.73   
   1    |  2249   |   0.189823   |     -      |     -     |   1.08   
----------------------------------------------------------------------
   1    |    -    |   0.425341   |  0.292113  |   91.97   |  498.94  
----------------------------------------------------------------------


 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   2    |   22    |   0.224365   |     -      |     -     |   4.88   
   2    |   44    |   0.191128   |     -      |     -     |   4.62   
   2    |   66    |   0.272321   |     -      |     -     |   4.64   
   2    |   88    |   0.227676   |     -      |     -     |   4.64   
   2    |   110   |   0.272933   |     -      |     -     |   4.69   
   2    |   132   |   0.209777   |     -      |     -     |   4.73   
   2    |   154   |   0.263136   |     -      |     -     |   4.75   
   2    |   176   |   0.164373   |     -      |     -     |   4.73   
   2    |   198   |   0.170669   |     -      |     -     |   4.69   
   2    |   220   |   0.271048   |     -      |     -     |   4.67   
