arg: {'prefix': 'agnews_trTY', 'read_from': None, 'dataset': 'agnews', 'fp_num': 0, 'train_typo': True}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 0.77 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.10 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   1.384488   |     -      |     -     |   4.92   
   1    |   44    |   1.377383   |     -      |     -     |   4.73   
   1    |   66    |   1.353911   |     -      |     -     |   4.73   
   1    |   88    |   1.299024   |     -      |     -     |   4.72   
   1    |   110   |   1.201685   |     -      |     -     |   4.74   
   1    |   132   |   1.127660   |     -      |     -     |   4.75   
   1    |   154   |   1.040381   |     -      |     -     |   4.73   
   1    |   176   |   0.972676   |     -      |     -     |   4.74   
   1    |   198   |   0.882100   |     -      |     -     |   4.76   
   1    |   220   |   0.814296   |     -      |     -     |   4.74   
   1    |   242   |   0.668132   |     -      |     -     |   4.75   
   1    |   264   |   0.646546   |     -      |     -     |   4.68   
   1    |   286   |   0.612321   |     -      |     -     |   4.62   
   1    |   308   |   0.551095   |     -      |     -     |   4.52   
   1    |   330   |   0.579563   |     -      |     -     |   4.58   
   1    |   352   |   0.529299   |     -      |     -     |   4.76   
   1    |   374   |   0.443564   |     -      |     -     |   4.78   
   1    |   396   |   0.369709   |     -      |     -     |   4.75   
   1    |   418   |   0.408860   |     -      |     -     |   4.73   
   1    |   440   |   0.456127   |     -      |     -     |   4.77   
   1    |   462   |   0.462940   |     -      |     -     |   4.75   
   1    |   484   |   0.481838   |     -      |     -     |   4.73   
   1    |   506   |   0.378974   |     -      |     -     |   4.71   
   1    |   528   |   0.402069   |     -      |     -     |   4.73   
   1    |   550   |   0.409394   |     -      |     -     |   4.73   
   1    |   572   |   0.392169   |     -      |     -     |   4.72   
   1    |   594   |   0.417566   |     -      |     -     |   4.74   
   1    |   616   |   0.370714   |     -      |     -     |   4.72   
   1    |   638   |   0.438550   |     -      |     -     |   4.75   
   1    |   660   |   0.376786   |     -      |     -     |   4.77   
   1    |   682   |   0.389441   |     -      |     -     |   4.82   
   1    |   704   |   0.381778   |     -      |     -     |   4.81   
   1    |   726   |   0.391859   |     -      |     -     |   4.81   
   1    |   748   |   0.394438   |     -      |     -     |   4.81   
   1    |   770   |   0.368716   |     -      |     -     |   4.80   
   1    |   792   |   0.379757   |     -      |     -     |   4.79   
   1    |   814   |   0.343465   |     -      |     -     |   4.81   
   1    |   836   |   0.338258   |     -      |     -     |   4.79   
   1    |   858   |   0.345241   |     -      |     -     |   4.75   
   1    |   880   |   0.306313   |     -      |     -     |   4.71   
   1    |   902   |   0.279957   |     -      |     -     |   4.69   
   1    |   924   |   0.263871   |     -      |     -     |   4.71   
   1    |   946   |   0.233725   |     -      |     -     |   4.73   
   1    |   968   |   0.485386   |     -      |     -     |   4.78   
   1    |   990   |   0.318171   |     -      |     -     |   4.77   
   1    |  1012   |   0.329810   |     -      |     -     |   4.78   
   1    |  1034   |   0.267608   |     -      |     -     |   4.73   
   1    |  1056   |   0.377979   |     -      |     -     |   4.76   
   1    |  1078   |   0.347146   |     -      |     -     |   4.78   
   1    |  1100   |   0.354928   |     -      |     -     |   4.80   
   1    |  1122   |   0.432893   |     -      |     -     |   4.69   
   1    |  1144   |   0.299354   |     -      |     -     |   4.56   
   1    |  1166   |   0.307889   |     -      |     -     |   4.73   
   1    |  1188   |   0.296298   |     -      |     -     |   4.77   
   1    |  1210   |   0.330829   |     -      |     -     |   4.74   
   1    |  1232   |   0.323693   |     -      |     -     |   4.67   
   1    |  1254   |   0.270606   |     -      |     -     |   4.71   
   1    |  1276   |   0.350343   |     -      |     -     |   4.72   
   1    |  1298   |   0.327483   |     -      |     -     |   4.78   
   1    |  1320   |   0.341909   |     -      |     -     |   4.75   
   1    |  1342   |   0.299420   |     -      |     -     |   4.81   
   1    |  1364   |   0.257926   |     -      |     -     |   4.77   
   1    |  1386   |   0.307593   |     -      |     -     |   4.80   
   1    |  1408   |   0.335339   |     -      |     -     |   4.78   
   1    |  1430   |   0.316670   |     -      |     -     |   4.76   
   1    |  1452   |   0.301088   |     -      |     -     |   4.76   
   1    |  1474   |   0.251819   |     -      |     -     |   4.77   
   1    |  1496   |   0.223013   |     -      |     -     |   4.77   
   1    |  1518   |   0.208662   |     -      |     -     |   4.77   
   1    |  1540   |   0.264127   |     -      |     -     |   4.78   
   1    |  1562   |   0.346967   |     -      |     -     |   4.76   
   1    |  1584   |   0.242927   |     -      |     -     |   4.79   
   1    |  1606   |   0.351738   |     -      |     -     |   4.72   
   1    |  1628   |   0.274809   |     -      |     -     |   4.80   
   1    |  1650   |   0.323635   |     -      |     -     |   4.78   
   1    |  1672   |   0.274324   |     -      |     -     |   4.80   
   1    |  1694   |   0.247042   |     -      |     -     |   4.81   
   1    |  1716   |   0.213367   |     -      |     -     |   4.79   
   1    |  1738   |   0.280626   |     -      |     -     |   4.77   
   1    |  1760   |   0.311242   |     -      |     -     |   4.70   
   1    |  1782   |   0.268130   |     -      |     -     |   4.70   
   1    |  1804   |   0.378405   |     -      |     -     |   4.75   
   1    |  1826   |   0.269667   |     -      |     -     |   4.83   
   1    |  1848   |   0.323526   |     -      |     -     |   4.77   
   1    |  1870   |   0.277041   |     -      |     -     |   4.77   
   1    |  1892   |   0.281856   |     -      |     -     |   4.79   
   1    |  1914   |   0.302402   |     -      |     -     |   4.76   
   1    |  1936   |   0.281237   |     -      |     -     |   4.77   
   1    |  1958   |   0.250895   |     -      |     -     |   4.76   
   1    |  1980   |   0.329374   |     -      |     -     |   4.77   
   1    |  2002   |   0.333833   |     -      |     -     |   4.73   
   1    |  2024   |   0.266442   |     -      |     -     |   4.73   
   1    |  2046   |   0.249606   |     -      |     -     |   4.75   
   1    |  2068   |   0.350308   |     -      |     -     |   4.72   
   1    |  2090   |   0.316754   |     -      |     -     |   4.71   
   1    |  2112   |   0.330167   |     -      |     -     |   4.71   
   1    |  2134   |   0.301510   |     -      |     -     |   4.72   
   1    |  2156   |   0.294568   |     -      |     -     |   4.71   
   1    |  2178   |   0.248414   |     -      |     -     |   4.73   
   1    |  2200   |   0.234130   |     -      |     -     |   4.74   
   1    |  2222   |   0.271798   |     -      |     -     |   4.68   
   1    |  2244   |   0.373096   |     -      |     -     |   4.80   
   1    |  2249   |   0.272310   |     -      |     -     |   1.09   
----------------------------------------------------------------------
   1    |    -    |   0.423566   |  0.257984  |   90.95   |  501.67  
----------------------------------------------------------------------


 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   2    |   22    |   0.134181   |     -      |     -     |   5.02   
   2    |   44    |   0.162218   |     -      |     -     |   4.78   
   2    |   66    |   0.171103   |     -      |     -     |   4.76   
   2    |   88    |   0.230608   |     -      |     -     |   4.80   
   2    |   110   |   0.222190   |     -      |     -     |   4.80   
   2    |   132   |   0.188609   |     -      |     -     |   4.78   
   2    |   154   |   0.200444   |     -      |     -     |   4.71   
   2    |   176   |   0.248120   |     -      |     -     |   4.74   
   2    |   198   |   0.174234   |     -      |     -     |   4.79   
   2    |   220   |   0.171730   |     -      |     -     |   4.70   
   2    |   242   |   0.286694   |     -      |     -     |   4.69   
   2    |   264   |   0.292830   |     -      |     -     |   4.71   
   2    |   286   |   0.231801   |     -      |     -     |   4.78   
   2    |   308   |   0.239192   |     -      |     -     |   4.80   
   2    |   330   |   0.208981   |     -      |     -     |   4.77   
   2    |   352   |   0.223300   |     -      |     -     |   4.78   
   2    |   374   |   0.269233   |     -      |     -     |   4.70   
   2    |   396   |   0.162648   |     -      |     -     |   4.77   
   2    |   418   |   0.150567   |     -      |     -     |   4.73   
   2    |   440   |   0.152249   |     -      |     -     |   4.72   
   2    |   462   |   0.275728   |     -      |     -     |   4.79   
   2    |   484   |   0.270614   |     -      |     -     |   4.76   
   2    |   506   |   0.184085   |     -      |     -     |   4.76   
   2    |   528   |   0.177326   |     -      |     -     |   4.69   
   2    |   550   |   0.246703   |     -      |     -     |   4.61   
   2    |   572   |   0.245589   |     -      |     -     |   4.77   
   2    |   594   |   0.206732   |     -      |     -     |   4.69   
   2    |   616   |   0.145822   |     -      |     -     |   4.74   
   2    |   638   |   0.204441   |     -      |     -     |   4.77   
   2    |   660   |   0.204551   |     -      |     -     |   4.74   
   2    |   682   |   0.144778   |     -      |     -     |   4.73   
   2    |   704   |   0.172239   |     -      |     -     |   4.75   
   2    |   726   |   0.170249   |     -      |     -     |   4.77   
   2    |   748   |   0.242869   |     -      |     -     |   4.76   
   2    |   770   |   0.189370   |     -      |     -     |   4.77   
   2    |   792   |   0.120949   |     -      |     -     |   4.76   
   2    |   814   |   0.250074   |     -      |     -     |   4.78   
   2    |   836   |   0.263958   |     -      |     -     |   4.72   
   2    |   858   |   0.250129   |     -      |     -     |   4.73   
   2    |   880   |   0.243904   |     -      |     -     |   4.78   
   2    |   902   |   0.199883   |     -      |     -     |   4.82   
   2    |   924   |   0.230638   |     -      |     -     |   4.79   
   2    |   946   |   0.206611   |     -      |     -     |   4.76   
   2    |   968   |   0.200141   |     -      |     -     |   4.76   
   2    |   990   |   0.242850   |     -      |     -     |   4.79   
   2    |  1012   |   0.265115   |     -      |     -     |   4.78   
   2    |  1034   |   0.225967   |     -      |     -     |   4.74   
   2    |  1056   |   0.225083   |     -      |     -     |   4.77   
   2    |  1078   |   0.229142   |     -      |     -     |   4.77   
   2    |  1100   |   0.223626   |     -      |     -     |   4.77   
   2    |  1122   |   0.166803   |     -      |     -     |   4.78   
   2    |  1144   |   0.171257   |     -      |     -     |   4.76   
   2    |  1166   |   0.183066   |     -      |     -     |   4.75   
   2    |  1188   |   0.255875   |     -      |     -     |   4.77   
   2    |  1210   |   0.256955   |     -      |     -     |   4.77   
   2    |  1232   |   0.262358   |     -      |     -     |   4.77   
   2    |  1254   |   0.215849   |     -      |     -     |   4.75   
   2    |  1276   |   0.203282   |     -      |     -     |   4.75   
   2    |  1298   |   0.230463   |     -      |     -     |   4.71   
   2    |  1320   |   0.284391   |     -      |     -     |   4.71   
   2    |  1342   |   0.138898   |     -      |     -     |   4.75   
   2    |  1364   |   0.155732   |     -      |     -     |   4.73   
   2    |  1386   |   0.167207   |     -      |     -     |   4.71   
   2    |  1408   |   0.195748   |     -      |     -     |   4.71   
   2    |  1430   |   0.160803   |     -      |     -     |   4.71   
   2    |  1452   |   0.257951   |     -      |     -     |   4.72   
   2    |  1474   |   0.232359   |     -      |     -     |   4.71   
