arg: {'prefix': 'imdb_4_epoch', 'read_from': None, 'dataset': 'imdb', 'fp_num': 0, 'train_typo': False, 'test_typo': True}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 2.85 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.10 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   0.684205   |     -      |     -     |   4.84   
   1    |   44    |   0.688832   |     -      |     -     |   4.64   
   1    |   66    |   0.686279   |     -      |     -     |   4.62   
   1    |   88    |   0.679987   |     -      |     -     |   4.66   
   1    |   110   |   0.655112   |     -      |     -     |   4.71   
   1    |   132   |   0.634563   |     -      |     -     |   4.74   
   1    |   154   |   0.627774   |     -      |     -     |   4.70   
   1    |   176   |   0.575675   |     -      |     -     |   4.70   
   1    |   198   |   0.525886   |     -      |     -     |   4.72   
   1    |   220   |   0.503500   |     -      |     -     |   4.73   
   1    |   242   |   0.499407   |     -      |     -     |   4.73   
   1    |   264   |   0.458820   |     -      |     -     |   4.76   
   1    |   286   |   0.458738   |     -      |     -     |   4.74   
   1    |   308   |   0.379596   |     -      |     -     |   4.68   
   1    |   330   |   0.355810   |     -      |     -     |   4.65   
   1    |   352   |   0.401814   |     -      |     -     |   4.66   
   1    |   374   |   0.367597   |     -      |     -     |   4.68   
   1    |   396   |   0.399509   |     -      |     -     |   4.74   
   1    |   418   |   0.450143   |     -      |     -     |   4.71   
   1    |   440   |   0.387211   |     -      |     -     |   4.74   
   1    |   462   |   0.365787   |     -      |     -     |   4.72   
   1    |   484   |   0.387556   |     -      |     -     |   4.73   
   1    |   506   |   0.409468   |     -      |     -     |   4.70   
   1    |   528   |   0.294818   |     -      |     -     |   4.74   
   1    |   550   |   0.343512   |     -      |     -     |   4.72   
   1    |   572   |   0.397446   |     -      |     -     |   4.71   
   1    |   594   |   0.354428   |     -      |     -     |   4.73   
   1    |   616   |   0.307905   |     -      |     -     |   4.72   
   1    |   638   |   0.275674   |     -      |     -     |   4.73   
   1    |   660   |   0.277769   |     -      |     -     |   4.72   
   1    |   682   |   0.298932   |     -      |     -     |   4.73   
   1    |   704   |   0.306186   |     -      |     -     |   4.73   
   1    |   726   |   0.278676   |     -      |     -     |   4.72   
   1    |   748   |   0.313793   |     -      |     -     |   4.71   
   1    |   770   |   0.366757   |     -      |     -     |   4.72   
   1    |   792   |   0.340159   |     -      |     -     |   4.72   
   1    |   814   |   0.346379   |     -      |     -     |   4.70   
   1    |   836   |   0.326986   |     -      |     -     |   4.53   
   1    |   858   |   0.349321   |     -      |     -     |   4.75   
   1    |   880   |   0.308871   |     -      |     -     |   4.76   
   1    |   902   |   0.303074   |     -      |     -     |   4.81   
   1    |   924   |   0.315020   |     -      |     -     |   4.81   
   1    |   946   |   0.378236   |     -      |     -     |   4.81   
   1    |   968   |   0.301417   |     -      |     -     |   4.82   
   1    |   990   |   0.325941   |     -      |     -     |   4.83   
   1    |  1012   |   0.444924   |     -      |     -     |   4.81   
   1    |  1034   |   0.314568   |     -      |     -     |   4.79   
   1    |  1056   |   0.301418   |     -      |     -     |   4.81   
   1    |  1078   |   0.279757   |     -      |     -     |   4.83   
   1    |  1100   |   0.326278   |     -      |     -     |   4.81   
   1    |  1122   |   0.312994   |     -      |     -     |   4.81   
   1    |  1144   |   0.426050   |     -      |     -     |   4.73   
   1    |  1166   |   0.299438   |     -      |     -     |   4.81   
   1    |  1188   |   0.357044   |     -      |     -     |   4.76   
   1    |  1210   |   0.305845   |     -      |     -     |   4.78   
   1    |  1232   |   0.272630   |     -      |     -     |   4.77   
   1    |  1254   |   0.377662   |     -      |     -     |   4.73   
   1    |  1276   |   0.377288   |     -      |     -     |   4.77   
   1    |  1298   |   0.312700   |     -      |     -     |   4.73   
   1    |  1320   |   0.269084   |     -      |     -     |   4.74   
   1    |  1342   |   0.213282   |     -      |     -     |   4.76   
   1    |  1364   |   0.303471   |     -      |     -     |   4.78   
   1    |  1386   |   0.271035   |     -      |     -     |   4.74   
   1    |  1408   |   0.275915   |     -      |     -     |   4.78   
   1    |  1430   |   0.374305   |     -      |     -     |   4.78   
   1    |  1452   |   0.194555   |     -      |     -     |   4.77   
   1    |  1474   |   0.317835   |     -      |     -     |   4.75   
   1    |  1496   |   0.274880   |     -      |     -     |   4.77   
   1    |  1518   |   0.304455   |     -      |     -     |   4.79   
   1    |  1540   |   0.241980   |     -      |     -     |   4.76   
   1    |  1562   |   0.332377   |     -      |     -     |   4.78   
   1    |  1584   |   0.283512   |     -      |     -     |   4.73   
   1    |  1606   |   0.238137   |     -      |     -     |   4.74   
   1    |  1628   |   0.374863   |     -      |     -     |   4.90   
   1    |  1650   |   0.289433   |     -      |     -     |   4.78   
   1    |  1672   |   0.284939   |     -      |     -     |   4.76   
   1    |  1694   |   0.291738   |     -      |     -     |   4.76   
   1    |  1716   |   0.309016   |     -      |     -     |   4.76   
   1    |  1738   |   0.228936   |     -      |     -     |   4.78   
   1    |  1760   |   0.188812   |     -      |     -     |   4.78   
   1    |  1782   |   0.261113   |     -      |     -     |   4.76   
   1    |  1804   |   0.233416   |     -      |     -     |   4.72   
   1    |  1826   |   0.327443   |     -      |     -     |   4.77   
   1    |  1848   |   0.259616   |     -      |     -     |   4.78   
   1    |  1870   |   0.213819   |     -      |     -     |   4.78   
