arg: {'prefix': 'imdb_4_epoch_typo', 'read_from': None, 'dataset': 'imdb', 'fp_num': 0, 'train_typo': True, 'test_typo': True}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.02 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 2.88 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.10 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   0.686274   |     -      |     -     |   4.85   
   1    |   44    |   0.672838   |     -      |     -     |   4.61   
   1    |   66    |   0.678669   |     -      |     -     |   4.62   
   1    |   88    |   0.675438   |     -      |     -     |   4.64   
   1    |   110   |   0.660766   |     -      |     -     |   4.61   
   1    |   132   |   0.631261   |     -      |     -     |   4.62   
   1    |   154   |   0.583816   |     -      |     -     |   4.62   
   1    |   176   |   0.541692   |     -      |     -     |   4.65   
   1    |   198   |   0.563903   |     -      |     -     |   4.62   
   1    |   220   |   0.492215   |     -      |     -     |   4.71   
   1    |   242   |   0.465624   |     -      |     -     |   4.73   
   1    |   264   |   0.426664   |     -      |     -     |   4.74   
   1    |   286   |   0.468823   |     -      |     -     |   4.73   
   1    |   308   |   0.426458   |     -      |     -     |   4.73   
   1    |   330   |   0.385627   |     -      |     -     |   4.74   
   1    |   352   |   0.351290   |     -      |     -     |   4.70   
   1    |   374   |   0.375066   |     -      |     -     |   4.71   
   1    |   396   |   0.360586   |     -      |     -     |   4.81   
   1    |   418   |   0.342031   |     -      |     -     |   4.77   
   1    |   440   |   0.323705   |     -      |     -     |   5.00   
   1    |   462   |   0.320874   |     -      |     -     |   4.78   
   1    |   484   |   0.345715   |     -      |     -     |   4.84   
   1    |   506   |   0.328995   |     -      |     -     |   4.88   
   1    |   528   |   0.439604   |     -      |     -     |   4.80   
   1    |   550   |   0.307638   |     -      |     -     |   4.91   
   1    |   572   |   0.351292   |     -      |     -     |   4.82   
   1    |   594   |   0.345450   |     -      |     -     |   4.78   
   1    |   616   |   0.321428   |     -      |     -     |   4.75   
   1    |   638   |   0.299943   |     -      |     -     |   4.88   
   1    |   660   |   0.292501   |     -      |     -     |   4.91   
   1    |   682   |   0.353208   |     -      |     -     |   4.85   
   1    |   704   |   0.321664   |     -      |     -     |   4.76   
   1    |   726   |   0.278654   |     -      |     -     |   4.86   
   1    |   748   |   0.281587   |     -      |     -     |   4.82   
   1    |   770   |   0.317155   |     -      |     -     |   4.79   
   1    |   792   |   0.437838   |     -      |     -     |   4.82   
   1    |   814   |   0.368738   |     -      |     -     |   4.77   
   1    |   836   |   0.304804   |     -      |     -     |   4.77   
   1    |   858   |   0.286502   |     -      |     -     |   4.77   
   1    |   880   |   0.299855   |     -      |     -     |   4.77   
   1    |   902   |   0.269701   |     -      |     -     |   4.82   
   1    |   924   |   0.310001   |     -      |     -     |   4.82   
   1    |   946   |   0.282345   |     -      |     -     |   4.80   
   1    |   968   |   0.265284   |     -      |     -     |   4.78   
   1    |   990   |   0.301714   |     -      |     -     |   4.79   
   1    |  1012   |   0.288679   |     -      |     -     |   4.79   
   1    |  1034   |   0.281016   |     -      |     -     |   4.64   
   1    |  1056   |   0.306493   |     -      |     -     |   4.65   
   1    |  1078   |   0.255219   |     -      |     -     |   4.67   
   1    |  1100   |   0.279682   |     -      |     -     |   4.77   
   1    |  1122   |   0.255705   |     -      |     -     |   4.72   
   1    |  1144   |   0.313435   |     -      |     -     |   4.80   
   1    |  1166   |   0.299563   |     -      |     -     |   4.78   
   1    |  1188   |   0.244556   |     -      |     -     |   4.77   
   1    |  1210   |   0.275178   |     -      |     -     |   4.78   
   1    |  1232   |   0.310845   |     -      |     -     |   4.78   
   1    |  1254   |   0.271601   |     -      |     -     |   4.75   
   1    |  1276   |   0.311196   |     -      |     -     |   4.80   
   1    |  1298   |   0.227210   |     -      |     -     |   4.79   
   1    |  1320   |   0.253710   |     -      |     -     |   4.81   
   1    |  1342   |   0.226679   |     -      |     -     |   4.80   
   1    |  1364   |   0.301188   |     -      |     -     |   4.75   
   1    |  1386   |   0.278157   |     -      |     -     |   4.72   
   1    |  1408   |   0.239176   |     -      |     -     |   4.74   
   1    |  1430   |   0.199151   |     -      |     -     |   4.81   
   1    |  1452   |   0.199659   |     -      |     -     |   4.79   
   1    |  1474   |   0.244870   |     -      |     -     |   4.77   
   1    |  1496   |   0.251709   |     -      |     -     |   4.75   
   1    |  1518   |   0.319946   |     -      |     -     |   4.78   
   1    |  1540   |   0.199013   |     -      |     -     |   4.84   
   1    |  1562   |   0.452599   |     -      |     -     |   4.82   
   1    |  1584   |   0.254200   |     -      |     -     |   4.78   
   1    |  1606   |   0.229076   |     -      |     -     |   4.75   
   1    |  1628   |   0.304601   |     -      |     -     |   4.75   
   1    |  1650   |   0.245310   |     -      |     -     |   4.81   
   1    |  1672   |   0.187086   |     -      |     -     |   4.65   
   1    |  1694   |   0.245707   |     -      |     -     |   4.69   
   1    |  1716   |   0.251607   |     -      |     -     |   4.66   
   1    |  1738   |   0.319806   |     -      |     -     |   4.73   
   1    |  1760   |   0.194234   |     -      |     -     |   4.75   
   1    |  1782   |   0.297729   |     -      |     -     |   4.75   
   1    |  1804   |   0.279956   |     -      |     -     |   4.72   
   1    |  1826   |   0.257455   |     -      |     -     |   4.78   
   1    |  1848   |   0.223648   |     -      |     -     |   4.75   
   1    |  1870   |   0.283479   |     -      |     -     |   4.77   
   1    |  1892   |   0.243794   |     -      |     -     |   4.77   
   1    |  1914   |   0.267614   |     -      |     -     |   4.76   
   1    |  1936   |   0.202305   |     -      |     -     |   4.74   
