arg: {'prefix': 'imdb_ptrNTY_3', 'read_from': 'agnews_trNTY', 'dataset': 'imdb', 'fp_num': 3}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.02 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 2.91 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.00 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   0.712364   |     -      |     -     |   4.96   
   1    |   44    |   0.656522   |     -      |     -     |   4.74   
   1    |   66    |   0.680900   |     -      |     -     |   4.73   
   1    |   88    |   0.672905   |     -      |     -     |   4.64   
   1    |   110   |   0.651076   |     -      |     -     |   4.71   
   1    |   132   |   0.613053   |     -      |     -     |   4.72   
   1    |   154   |   0.570385   |     -      |     -     |   4.77   
   1    |   176   |   0.497159   |     -      |     -     |   4.74   
   1    |   198   |   0.509846   |     -      |     -     |   4.75   
   1    |   220   |   0.473572   |     -      |     -     |   4.75   
   1    |   242   |   0.454960   |     -      |     -     |   4.76   
   1    |   264   |   0.420859   |     -      |     -     |   4.78   
   1    |   286   |   0.431498   |     -      |     -     |   4.78   
   1    |   308   |   0.444419   |     -      |     -     |   4.74   
   1    |   330   |   0.402295   |     -      |     -     |   4.76   
   1    |   352   |   0.383417   |     -      |     -     |   4.78   
   1    |   374   |   0.440160   |     -      |     -     |   4.72   
   1    |   396   |   0.364787   |     -      |     -     |   4.73   
   1    |   418   |   0.472089   |     -      |     -     |   4.80   
   1    |   440   |   0.361019   |     -      |     -     |   4.71   
   1    |   462   |   0.383302   |     -      |     -     |   4.71   
   1    |   484   |   0.394249   |     -      |     -     |   4.72   
   1    |   506   |   0.317204   |     -      |     -     |   4.71   
   1    |   528   |   0.489449   |     -      |     -     |   4.75   
   1    |   550   |   0.407419   |     -      |     -     |   4.78   
   1    |   572   |   0.309634   |     -      |     -     |   4.81   
   1    |   594   |   0.330969   |     -      |     -     |   4.80   
   1    |   616   |   0.335220   |     -      |     -     |   4.80   
   1    |   638   |   0.279861   |     -      |     -     |   4.80   
   1    |   660   |   0.336952   |     -      |     -     |   4.77   
   1    |   682   |   0.348151   |     -      |     -     |   4.80   
   1    |   704   |   0.322214   |     -      |     -     |   4.78   
   1    |   726   |   0.321716   |     -      |     -     |   4.77   
   1    |   748   |   0.280833   |     -      |     -     |   4.75   
   1    |   770   |   0.311984   |     -      |     -     |   4.75   
   1    |   792   |   0.350835   |     -      |     -     |   4.76   
   1    |   814   |   0.358360   |     -      |     -     |   4.77   
   1    |   836   |   0.360125   |     -      |     -     |   4.74   
   1    |   858   |   0.366523   |     -      |     -     |   4.73   
   1    |   880   |   0.277117   |     -      |     -     |   4.73   
   1    |   902   |   0.320355   |     -      |     -     |   4.75   
   1    |   924   |   0.289928   |     -      |     -     |   4.72   
   1    |   946   |   0.260924   |     -      |     -     |   4.77   
   1    |   968   |   0.270407   |     -      |     -     |   4.75   
   1    |   990   |   0.294877   |     -      |     -     |   4.81   
   1    |  1012   |   0.282844   |     -      |     -     |   4.82   
   1    |  1034   |   0.284481   |     -      |     -     |   4.83   
   1    |  1056   |   0.305336   |     -      |     -     |   4.84   
   1    |  1078   |   0.249040   |     -      |     -     |   4.83   
   1    |  1100   |   0.339709   |     -      |     -     |   4.82   
   1    |  1122   |   0.288902   |     -      |     -     |   4.79   
   1    |  1144   |   0.254182   |     -      |     -     |   4.77   
   1    |  1166   |   0.283240   |     -      |     -     |   4.80   
   1    |  1188   |   0.213374   |     -      |     -     |   4.80   
   1    |  1210   |   0.292377   |     -      |     -     |   4.79   
   1    |  1232   |   0.267367   |     -      |     -     |   4.75   
   1    |  1254   |   0.258113   |     -      |     -     |   4.70   
   1    |  1276   |   0.225618   |     -      |     -     |   4.76   
   1    |  1298   |   0.244751   |     -      |     -     |   4.80   
   1    |  1320   |   0.230484   |     -      |     -     |   4.77   
   1    |  1342   |   0.218086   |     -      |     -     |   4.76   
   1    |  1364   |   0.256107   |     -      |     -     |   4.80   
   1    |  1386   |   0.277348   |     -      |     -     |   4.80   
   1    |  1408   |   0.277273   |     -      |     -     |   4.82   
   1    |  1430   |   0.199782   |     -      |     -     |   4.80   
   1    |  1452   |   0.209191   |     -      |     -     |   4.76   
   1    |  1474   |   0.220736   |     -      |     -     |   4.79   
   1    |  1496   |   0.236836   |     -      |     -     |   4.82   
   1    |  1518   |   0.252571   |     -      |     -     |   4.81   
   1    |  1540   |   0.186638   |     -      |     -     |   4.77   
   1    |  1562   |   0.429094   |     -      |     -     |   4.78   
   1    |  1584   |   0.269722   |     -      |     -     |   4.79   
   1    |  1606   |   0.242758   |     -      |     -     |   4.80   
   1    |  1628   |   0.246983   |     -      |     -     |   4.79   
   1    |  1650   |   0.293600   |     -      |     -     |   4.78   
   1    |  1672   |   0.208709   |     -      |     -     |   4.79   
   1    |  1694   |   0.258933   |     -      |     -     |   4.84   
   1    |  1716   |   0.251648   |     -      |     -     |   4.81   
   1    |  1738   |   0.265094   |     -      |     -     |   4.78   
   1    |  1760   |   0.199985   |     -      |     -     |   4.66   
   1    |  1782   |   0.276172   |     -      |     -     |   4.77   
   1    |  1804   |   0.228131   |     -      |     -     |   4.80   
   1    |  1826   |   0.302802   |     -      |     -     |   4.72   
   1    |  1848   |   0.224100   |     -      |     -     |   4.57   
   1    |  1870   |   0.284342   |     -      |     -     |   4.70   
   1    |  1892   |   0.190643   |     -      |     -     |   4.71   
   1    |  1914   |   0.298531   |     -      |     -     |   4.76   
   1    |  1936   |   0.169263   |     -      |     -     |   4.74   
   1    |  1958   |   0.226691   |     -      |     -     |   4.81   
   1    |  1980   |   0.308083   |     -      |     -     |   4.79   
   1    |  2002   |   0.221413   |     -      |     -     |   4.78   
   1    |  2024   |   0.254629   |     -      |     -     |   4.79   
   1    |  2046   |   0.234182   |     -      |     -     |   4.80   
   1    |  2068   |   0.205177   |     -      |     -     |   4.80   
   1    |  2090   |   0.233649   |     -      |     -     |   4.79   
   1    |  2112   |   0.192996   |     -      |     -     |   4.83   
   1    |  2134   |   0.247814   |     -      |     -     |   4.79   
   1    |  2156   |   0.196462   |     -      |     -     |   4.74   
   1    |  2178   |   0.278642   |     -      |     -     |   4.77   
   1    |  2200   |   0.306295   |     -      |     -     |   4.78   
   1    |  2222   |   0.214599   |     -      |     -     |   4.78   
   1    |  2244   |   0.219589   |     -      |     -     |   4.80   
   1    |  2249   |   0.158265   |     -      |     -     |   1.09   
----------------------------------------------------------------------
   1    |    -    |   0.322035   |  0.184659  |   93.65   |  503.89  
----------------------------------------------------------------------


 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   2    |   22    |   0.127203   |     -      |     -     |   4.91   
   2    |   44    |   0.214224   |     -      |     -     |   4.75   
   2    |   66    |   0.203142   |     -      |     -     |   4.74   
   2    |   88    |   0.191360   |     -      |     -     |   4.76   
   2    |   110   |   0.115179   |     -      |     -     |   4.73   
