arg: {'prefix': 'imdb_ptrTY_3', 'read_from': 'agnews_trTY', 'dataset': 'imdb', 'fp_num': 3}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.02 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 2.93 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.00 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   0.770794   |     -      |     -     |   4.96   
   1    |   44    |   0.751670   |     -      |     -     |   4.71   
   1    |   66    |   0.698439   |     -      |     -     |   4.70   
   1    |   88    |   0.687943   |     -      |     -     |   4.74   
   1    |   110   |   0.660194   |     -      |     -     |   4.74   
   1    |   132   |   0.640201   |     -      |     -     |   4.80   
   1    |   154   |   0.614918   |     -      |     -     |   4.72   
   1    |   176   |   0.576615   |     -      |     -     |   4.76   
   1    |   198   |   0.634654   |     -      |     -     |   4.59   
   1    |   220   |   0.541833   |     -      |     -     |   4.75   
   1    |   242   |   0.531612   |     -      |     -     |   4.71   
   1    |   264   |   0.475972   |     -      |     -     |   4.68   
   1    |   286   |   0.452936   |     -      |     -     |   4.75   
   1    |   308   |   0.442890   |     -      |     -     |   4.76   
   1    |   330   |   0.368018   |     -      |     -     |   4.79   
   1    |   352   |   0.380583   |     -      |     -     |   4.76   
   1    |   374   |   0.370099   |     -      |     -     |   4.73   
   1    |   396   |   0.448877   |     -      |     -     |   4.77   
   1    |   418   |   0.345625   |     -      |     -     |   4.78   
   1    |   440   |   0.320419   |     -      |     -     |   4.80   
   1    |   462   |   0.393841   |     -      |     -     |   4.77   
   1    |   484   |   0.383422   |     -      |     -     |   4.81   
   1    |   506   |   0.346075   |     -      |     -     |   4.81   
   1    |   528   |   0.474094   |     -      |     -     |   4.78   
   1    |   550   |   0.339486   |     -      |     -     |   4.80   
   1    |   572   |   0.347830   |     -      |     -     |   4.78   
   1    |   594   |   0.350413   |     -      |     -     |   4.71   
   1    |   616   |   0.330258   |     -      |     -     |   4.81   
   1    |   638   |   0.447776   |     -      |     -     |   4.82   
   1    |   660   |   0.378705   |     -      |     -     |   4.77   
   1    |   682   |   0.364055   |     -      |     -     |   4.77   
