arg: {'prefix': 'imdb_trNTY', 'read_from': None, 'dataset': 'imdb', 'fp_num': 0, 'train_typo': False}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.01 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 2.77 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.10 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   0.686228   |     -      |     -     |   4.85   
   1    |   44    |   0.687489   |     -      |     -     |   4.60   
   1    |   66    |   0.683649   |     -      |     -     |   4.64   
   1    |   88    |   0.671557   |     -      |     -     |   4.70   
   1    |   110   |   0.622062   |     -      |     -     |   4.70   
   1    |   132   |   0.557478   |     -      |     -     |   4.69   
   1    |   154   |   0.536820   |     -      |     -     |   4.70   
   1    |   176   |   0.524840   |     -      |     -     |   4.70   
   1    |   198   |   0.472980   |     -      |     -     |   4.73   
   1    |   220   |   0.455784   |     -      |     -     |   4.71   
   1    |   242   |   0.433754   |     -      |     -     |   4.74   
   1    |   264   |   0.400229   |     -      |     -     |   4.71   
   1    |   286   |   0.398392   |     -      |     -     |   4.74   
   1    |   308   |   0.306874   |     -      |     -     |   4.75   
   1    |   330   |   0.362138   |     -      |     -     |   4.77   
   1    |   352   |   0.479140   |     -      |     -     |   4.75   
   1    |   374   |   0.416302   |     -      |     -     |   4.76   
   1    |   396   |   0.413125   |     -      |     -     |   4.78   
   1    |   418   |   0.439296   |     -      |     -     |   4.76   
   1    |   440   |   0.333719   |     -      |     -     |   4.75   
   1    |   462   |   0.438235   |     -      |     -     |   4.75   
   1    |   484   |   0.417111   |     -      |     -     |   4.73   
   1    |   506   |   0.424060   |     -      |     -     |   4.74   
   1    |   528   |   0.287297   |     -      |     -     |   4.74   
   1    |   550   |   0.328680   |     -      |     -     |   4.73   
   1    |   572   |   0.416993   |     -      |     -     |   4.74   
   1    |   594   |   0.315886   |     -      |     -     |   4.72   
   1    |   616   |   0.313275   |     -      |     -     |   4.75   
   1    |   638   |   0.265426   |     -      |     -     |   4.74   
   1    |   660   |   0.265873   |     -      |     -     |   4.77   
   1    |   682   |   0.280568   |     -      |     -     |   4.76   
   1    |   704   |   0.288305   |     -      |     -     |   4.77   
   1    |   726   |   0.367522   |     -      |     -     |   4.75   
   1    |   748   |   0.290277   |     -      |     -     |   4.72   
   1    |   770   |   0.307999   |     -      |     -     |   4.75   
   1    |   792   |   0.283932   |     -      |     -     |   4.78   
   1    |   814   |   0.344040   |     -      |     -     |   4.78   
   1    |   836   |   0.285943   |     -      |     -     |   4.77   
   1    |   858   |   0.289960   |     -      |     -     |   4.78   
   1    |   880   |   0.317578   |     -      |     -     |   4.78   
   1    |   902   |   0.347516   |     -      |     -     |   4.78   
   1    |   924   |   0.251776   |     -      |     -     |   4.77   
   1    |   946   |   0.310851   |     -      |     -     |   4.74   
   1    |   968   |   0.284169   |     -      |     -     |   4.75   
   1    |   990   |   0.289087   |     -      |     -     |   4.77   
   1    |  1012   |   0.285809   |     -      |     -     |   4.73   
   1    |  1034   |   0.249084   |     -      |     -     |   4.75   
   1    |  1056   |   0.330141   |     -      |     -     |   4.74   
   1    |  1078   |   0.189670   |     -      |     -     |   4.76   
   1    |  1100   |   0.338216   |     -      |     -     |   4.76   
   1    |  1122   |   0.256221   |     -      |     -     |   4.74   
   1    |  1144   |   0.251328   |     -      |     -     |   4.75   
   1    |  1166   |   0.257350   |     -      |     -     |   4.76   
   1    |  1188   |   0.292270   |     -      |     -     |   4.72   
   1    |  1210   |   0.271734   |     -      |     -     |   4.73   
   1    |  1232   |   0.257971   |     -      |     -     |   4.76   
   1    |  1254   |   0.259675   |     -      |     -     |   4.71   
   1    |  1276   |   0.251383   |     -      |     -     |   4.74   
   1    |  1298   |   0.271982   |     -      |     -     |   4.75   
   1    |  1320   |   0.273163   |     -      |     -     |   4.73   
   1    |  1342   |   0.203368   |     -      |     -     |   4.75   
   1    |  1364   |   0.314124   |     -      |     -     |   4.75   
   1    |  1386   |   0.216584   |     -      |     -     |   4.73   
   1    |  1408   |   0.208028   |     -      |     -     |   4.77   
   1    |  1430   |   0.341591   |     -      |     -     |   4.77   
   1    |  1452   |   0.229380   |     -      |     -     |   4.74   
   1    |  1474   |   0.272648   |     -      |     -     |   4.74   
   1    |  1496   |   0.238324   |     -      |     -     |   4.72   
   1    |  1518   |   0.265264   |     -      |     -     |   4.64   
   1    |  1540   |   0.182410   |     -      |     -     |   4.65   
   1    |  1562   |   0.310908   |     -      |     -     |   4.64   
   1    |  1584   |   0.282798   |     -      |     -     |   4.70   
   1    |  1606   |   0.194485   |     -      |     -     |   4.77   
   1    |  1628   |   0.296173   |     -      |     -     |   4.77   
   1    |  1650   |   0.211170   |     -      |     -     |   4.75   
   1    |  1672   |   0.259898   |     -      |     -     |   4.78   
   1    |  1694   |   0.274871   |     -      |     -     |   4.74   
   1    |  1716   |   0.263736   |     -      |     -     |   4.75   
   1    |  1738   |   0.193492   |     -      |     -     |   4.73   
   1    |  1760   |   0.224557   |     -      |     -     |   4.74   
   1    |  1782   |   0.225769   |     -      |     -     |   4.75   
   1    |  1804   |   0.196766   |     -      |     -     |   4.68   
   1    |  1826   |   0.246953   |     -      |     -     |   4.64   
   1    |  1848   |   0.247384   |     -      |     -     |   4.67   
   1    |  1870   |   0.163547   |     -      |     -     |   4.63   
   1    |  1892   |   0.296340   |     -      |     -     |   4.67   
   1    |  1914   |   0.257041   |     -      |     -     |   4.63   
   1    |  1936   |   0.291693   |     -      |     -     |   4.72   
   1    |  1958   |   0.259936   |     -      |     -     |   4.74   
   1    |  1980   |   0.183774   |     -      |     -     |   4.77   
   1    |  2002   |   0.196187   |     -      |     -     |   4.74   
   1    |  2024   |   0.252565   |     -      |     -     |   4.73   
   1    |  2046   |   0.215569   |     -      |     -     |   4.75   
   1    |  2068   |   0.277329   |     -      |     -     |   4.74   
   1    |  2090   |   0.280993   |     -      |     -     |   4.75   
   1    |  2112   |   0.196559   |     -      |     -     |   4.72   
   1    |  2134   |   0.220153   |     -      |     -     |   4.75   
   1    |  2156   |   0.236506   |     -      |     -     |   4.75   
   1    |  2178   |   0.148285   |     -      |     -     |   4.77   
   1    |  2200   |   0.318251   |     -      |     -     |   4.73   
   1    |  2222   |   0.229427   |     -      |     -     |   4.74   
   1    |  2244   |   0.198109   |     -      |     -     |   4.73   
   1    |  2249   |   0.299944   |     -      |     -     |   1.08   
----------------------------------------------------------------------
   1    |    -    |   0.314380   |  0.224683  |   92.17   |  500.20  
----------------------------------------------------------------------


 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   2    |   22    |   0.163332   |     -      |     -     |   5.01   
   2    |   44    |   0.146011   |     -      |     -     |   4.78   
   2    |   66    |   0.148622   |     -      |     -     |   4.77   
   2    |   88    |   0.151148   |     -      |     -     |   4.80   
   2    |   110   |   0.181653   |     -      |     -     |   4.78   
   2    |   132   |   0.154690   |     -      |     -     |   4.69   
   2    |   154   |   0.210694   |     -      |     -     |   4.77   
   2    |   176   |   0.090397   |     -      |     -     |   4.76   
   2    |   198   |   0.192334   |     -      |     -     |   4.80   
   2    |   220   |   0.221617   |     -      |     -     |   4.76   
   2    |   242   |   0.140145   |     -      |     -     |   4.76   
   2    |   264   |   0.192816   |     -      |     -     |   4.73   
   2    |   286   |   0.129999   |     -      |     -     |   4.74   
   2    |   308   |   0.139805   |     -      |     -     |   4.72   
   2    |   330   |   0.162449   |     -      |     -     |   4.77   
   2    |   352   |   0.148961   |     -      |     -     |   4.76   
   2    |   374   |   0.109534   |     -      |     -     |   4.73   
   2    |   396   |   0.125517   |     -      |     -     |   4.75   
   2    |   418   |   0.199723   |     -      |     -     |   4.80   
   2    |   440   |   0.200077   |     -      |     -     |   4.79   
   2    |   462   |   0.111286   |     -      |     -     |   4.74   
   2    |   484   |   0.119175   |     -      |     -     |   4.75   
   2    |   506   |   0.183961   |     -      |     -     |   4.73   
   2    |   528   |   0.143204   |     -      |     -     |   4.78   
   2    |   550   |   0.179979   |     -      |     -     |   4.77   
   2    |   572   |   0.159666   |     -      |     -     |   4.70   
   2    |   594   |   0.112784   |     -      |     -     |   4.65   
   2    |   616   |   0.130209   |     -      |     -     |   4.71   
   2    |   638   |   0.249518   |     -      |     -     |   4.79   
   2    |   660   |   0.136857   |     -      |     -     |   4.77   
   2    |   682   |   0.180544   |     -      |     -     |   4.74   
   2    |   704   |   0.076175   |     -      |     -     |   4.74   
   2    |   726   |   0.204885   |     -      |     -     |   4.74   
   2    |   748   |   0.156664   |     -      |     -     |   4.77   
   2    |   770   |   0.125982   |     -      |     -     |   4.75   
   2    |   792   |   0.178213   |     -      |     -     |   4.75   
   2    |   814   |   0.192415   |     -      |     -     |   4.74   
   2    |   836   |   0.071170   |     -      |     -     |   4.74   
   2    |   858   |   0.153547   |     -      |     -     |   4.74   
   2    |   880   |   0.167886   |     -      |     -     |   4.76   
   2    |   902   |   0.101330   |     -      |     -     |   4.78   
   2    |   924   |   0.126190   |     -      |     -     |   4.75   
   2    |   946   |   0.120475   |     -      |     -     |   4.76   
   2    |   968   |   0.155396   |     -      |     -     |   4.76   
   2    |   990   |   0.167589   |     -      |     -     |   4.78   
   2    |  1012   |   0.104540   |     -      |     -     |   4.74   
   2    |  1034   |   0.151125   |     -      |     -     |   4.75   
   2    |  1056   |   0.184145   |     -      |     -     |   4.73   
   2    |  1078   |   0.159090   |     -      |     -     |   4.76   
   2    |  1100   |   0.149786   |     -      |     -     |   4.74   
   2    |  1122   |   0.177560   |     -      |     -     |   4.76   
   2    |  1144   |   0.130451   |     -      |     -     |   4.74   
   2    |  1166   |   0.179606   |     -      |     -     |   4.76   
   2    |  1188   |   0.122543   |     -      |     -     |   4.76   
   2    |  1210   |   0.183347   |     -      |     -     |   4.74   
   2    |  1232   |   0.138664   |     -      |     -     |   4.74   
   2    |  1254   |   0.171931   |     -      |     -     |   4.73   
   2    |  1276   |   0.169165   |     -      |     -     |   4.76   
