arg: {'prefix': 'imdb_trTY', 'read_from': None, 'dataset': 'imdb', 'fp_num': 0, 'train_typo': True}
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 3090
---------------                Reading data...                ---------------
---------------     Reading data finished in 0.02 minute.     ---------------
---------------              Tokenizing data...               ---------------
---------------   Tokenizing data finished in 2.86 minute.    ---------------
---------------            Preprocessing torch...             ---------------
--------------- Preprocessing torch finished in 0.00 minute.  ---------------
---------------             Initializing model...             ---------------
---------------  Initializing model finished in 0.11 minute.  ---------------
---------------                  Training...                  ---------------
 Epoch  |  Batch  |  Train Loss  | Test Loss  | Test Acc  |  Elapsed 
----------------------------------------------------------------------
   1    |   22    |   0.692095   |     -      |     -     |   4.94   
   1    |   44    |   0.684429   |     -      |     -     |   4.73   
   1    |   66    |   0.680747   |     -      |     -     |   4.75   
   1    |   88    |   0.669166   |     -      |     -     |   4.72   
   1    |   110   |   0.624868   |     -      |     -     |   4.67   
   1    |   132   |   0.562814   |     -      |     -     |   4.74   
   1    |   154   |   0.504563   |     -      |     -     |   4.75   
   1    |   176   |   0.486633   |     -      |     -     |   4.74   
   1    |   198   |   0.500857   |     -      |     -     |   4.62   
   1    |   220   |   0.438777   |     -      |     -     |   4.67   
   1    |   242   |   0.384643   |     -      |     -     |   4.72   
   1    |   264   |   0.502492   |     -      |     -     |   4.72   
   1    |   286   |   0.412140   |     -      |     -     |   4.77   
   1    |   308   |   0.388672   |     -      |     -     |   4.77   
   1    |   330   |   0.354209   |     -      |     -     |   4.77   
   1    |   352   |   0.325409   |     -      |     -     |   4.75   
   1    |   374   |   0.305695   |     -      |     -     |   4.78   
   1    |   396   |   0.446974   |     -      |     -     |   4.77   
   1    |   418   |   0.404676   |     -      |     -     |   4.76   
   1    |   440   |   0.306787   |     -      |     -     |   4.75   
   1    |   462   |   0.356617   |     -      |     -     |   4.76   
   1    |   484   |   0.366812   |     -      |     -     |   4.82   
   1    |   506   |   0.335588   |     -      |     -     |   4.91   
   1    |   528   |   0.376535   |     -      |     -     |   4.85   
   1    |   550   |   0.373958   |     -      |     -     |   4.78   
   1    |   572   |   0.335807   |     -      |     -     |   4.75   
   1    |   594   |   0.342796   |     -      |     -     |   4.70   
   1    |   616   |   0.300068   |     -      |     -     |   4.76   
   1    |   638   |   0.285723   |     -      |     -     |   4.81   
   1    |   660   |   0.376678   |     -      |     -     |   4.77   
   1    |   682   |   0.315387   |     -      |     -     |   4.81   
   1    |   704   |   0.339085   |     -      |     -     |   4.78   
   1    |   726   |   0.313186   |     -      |     -     |   4.79   
   1    |   748   |   0.269860   |     -      |     -     |   4.78   
   1    |   770   |   0.301261   |     -      |     -     |   4.77   
   1    |   792   |   0.338565   |     -      |     -     |   4.81   
   1    |   814   |   0.383881   |     -      |     -     |   4.78   
   1    |   836   |   0.257986   |     -      |     -     |   4.75   
   1    |   858   |   0.294375   |     -      |     -     |   4.78   
   1    |   880   |   0.287673   |     -      |     -     |   4.79   
   1    |   902   |   0.287426   |     -      |     -     |   4.80   
   1    |   924   |   0.248880   |     -      |     -     |   4.81   
   1    |   946   |   0.243737   |     -      |     -     |   4.76   
   1    |   968   |   0.380035   |     -      |     -     |   4.72   
   1    |   990   |   0.389759   |     -      |     -     |   4.76   
   1    |  1012   |   0.292501   |     -      |     -     |   4.78   
   1    |  1034   |   0.282117   |     -      |     -     |   4.70   
   1    |  1056   |   0.292722   |     -      |     -     |   4.75   
   1    |  1078   |   0.259265   |     -      |     -     |   4.69   
   1    |  1100   |   0.275520   |     -      |     -     |   4.70   
   1    |  1122   |   0.282651   |     -      |     -     |   4.75   
   1    |  1144   |   0.216165   |     -      |     -     |   4.73   
   1    |  1166   |   0.314876   |     -      |     -     |   4.64   
   1    |  1188   |   0.235262   |     -      |     -     |   4.64   
   1    |  1210   |   0.274532   |     -      |     -     |   4.75   
   1    |  1232   |   0.261437   |     -      |     -     |   4.76   
   1    |  1254   |   0.225163   |     -      |     -     |   4.77   
   1    |  1276   |   0.226986   |     -      |     -     |   4.73   
   1    |  1298   |   0.197568   |     -      |     -     |   4.75   
   1    |  1320   |   0.264022   |     -      |     -     |   4.76   
   1    |  1342   |   0.233899   |     -      |     -     |   4.76   
   1    |  1364   |   0.253626   |     -      |     -     |   4.70   
   1    |  1386   |   0.244560   |     -      |     -     |   4.79   
   1    |  1408   |   0.241045   |     -      |     -     |   4.80   
   1    |  1430   |   0.221306   |     -      |     -     |   4.84   
   1    |  1452   |   0.216679   |     -      |     -     |   4.85   
   1    |  1474   |   0.206545   |     -      |     -     |   4.80   
   1    |  1496   |   0.242203   |     -      |     -     |   4.80   
   1    |  1518   |   0.237667   |     -      |     -     |   4.74   
   1    |  1540   |   0.181303   |     -      |     -     |   4.81   
   1    |  1562   |   0.389450   |     -      |     -     |   4.80   
   1    |  1584   |   0.230436   |     -      |     -     |   4.78   
   1    |  1606   |   0.237450   |     -      |     -     |   4.78   
   1    |  1628   |   0.244138   |     -      |     -     |   4.80   
   1    |  1650   |   0.260768   |     -      |     -     |   4.81   
   1    |  1672   |   0.175057   |     -      |     -     |   4.76   
   1    |  1694   |   0.204321   |     -      |     -     |   4.80   
   1    |  1716   |   0.209183   |     -      |     -     |   4.80   
   1    |  1738   |   0.260799   |     -      |     -     |   4.80   
   1    |  1760   |   0.174896   |     -      |     -     |   4.79   
   1    |  1782   |   0.273084   |     -      |     -     |   4.80   
   1    |  1804   |   0.274834   |     -      |     -     |   4.78   
   1    |  1826   |   0.246086   |     -      |     -     |   4.76   
   1    |  1848   |   0.203747   |     -      |     -     |   4.78   
   1    |  1870   |   0.226321   |     -      |     -     |   4.75   
   1    |  1892   |   0.210489   |     -      |     -     |   4.76   
   1    |  1914   |   0.207515   |     -      |     -     |   4.75   
   1    |  1936   |   0.192817   |     -      |     -     |   4.82   
   1    |  1958   |   0.203272   |     -      |     -     |   4.72   
   1    |  1980   |   0.254957   |     -      |     -     |   4.82   
   1    |  2002   |   0.193110   |     -      |     -     |   4.79   
   1    |  2024   |   0.244514   |     -      |     -     |   4.72   
   1    |  2046   |   0.271765   |     -      |     -     |   4.78   
   1    |  2068   |   0.196737   |     -      |     -     |   4.79   
   1    |  2090   |   0.177739   |     -      |     -     |   4.83   
   1    |  2112   |   0.210612   |     -      |     -     |   4.80   
   1    |  2134   |   0.210684   |     -      |     -     |   4.77   
   1    |  2156   |   0.245019   |     -      |     -     |   4.78   
   1    |  2178   |   0.254162   |     -      |     -     |   4.79   
   1    |  2200   |   0.294223   |     -      |     -     |   4.78   
